epoch,train_loss,train_acc,val_loss,val_acc
1,1.105748,19.7260,2.047204,13.5749
2,0.852944,35.6536,1.772914,34.4111
3,0.767446,48.6278,1.594215,42.4808
4,0.724633,53.3736,1.512726,45.9930
5,0.690546,57.7943,1.453125,48.8362
6,0.651649,61.8667,1.437179,50.1324
7,0.648316,63.3016,1.383995,52.4042
8,0.628593,66.5336,1.340688,54.6481
9,0.594338,69.5380,1.379196,53.4077
10,0.587407,71.7808,1.394002,52.9617
11,0.570782,73.5082,1.336812,55.6098
12,0.569854,75.1567,1.373947,54.7735
13,0.542696,77.1906,1.321082,57.1289
14,0.536495,79.7446,1.326628,56.7108
15,0.512181,80.8823,1.368905,56.2369
16,0.483526,83.2505,1.342915,57.6167
17,0.490925,84.5879,1.383349,54.8990
18,0.472023,85.7766,1.367374,56.8362
19,0.476696,87.0118,1.356083,58.0767
20,0.459594,87.9127,1.375048,57.8118
21,0.441864,89.5937,1.375189,57.5889
22,0.448198,90.1974,1.367650,58.0209
23,0.427169,91.1400,1.350935,59.0244
24,0.440416,90.6803,1.379363,57.1847
25,0.430729,92.4774,1.346294,59.1220
26,0.408469,92.8117,1.365458,58.0906
27,0.406117,93.5082,1.369143,58.7178
28,0.408206,94.1444,1.380872,58.0906
29,0.399989,94.4741,1.359339,58.7038
30,0.404653,95.2171,1.387842,57.9512
31,0.403967,95.4678,1.384834,57.9652
32,0.398971,95.9043,1.386567,58.8432
33,0.394751,96.2758,1.383750,58.3136
34,0.385613,96.5637,1.388677,57.8258
35,0.392474,96.2248,1.379951,58.6202
36,0.391594,96.4848,1.384597,58.2021
37,0.385590,96.6798,1.394898,58.5087
38,0.377330,97.2417,1.376027,58.6620
39,0.382713,97.4135,1.384413,58.1185
40,0.378862,97.5017,1.377285,58.7178
41,0.376553,97.5203,1.378712,58.2578
42,0.370290,97.7804,1.373081,58.6760
43,0.377376,97.8825,1.380935,57.9373
44,0.379314,97.9382,1.367335,58.4251
45,0.368595,98.2726,1.379990,58.7317
46,0.370813,98.1983,1.376556,57.9791
47,0.376853,98.3051,1.384800,57.9512
48,0.371382,98.4351,1.375273,58.3275
49,0.367969,98.3051,1.383181,58.0767
50,0.363863,98.3329,1.379456,58.1882
51,0.368596,98.4676,1.374354,58.3275
52,0.370485,98.4119,1.382146,57.7700
53,0.367564,98.4490,1.378564,58.2857
54,0.371807,98.3933,1.375107,57.9791
55,0.370754,98.5791,1.376540,58.0767
56,0.369415,98.3887,1.381325,57.8537
57,0.366669,98.4862,1.373889,58.1463
58,0.368458,98.7184,1.371994,58.1463
59,0.366865,98.6812,1.379581,57.7422
60,0.367159,98.6301,1.380988,58.0627
